name,structural_role,data_type,intrinsic,unit,dependencies,confidence_composite,confidence_necessity,confidence_stability,confidence_standards,supply_chain_relevant,ecommerce_relevant,analytical_relevant,rationale,sources
Manufacturer,identity,enumeration,True,,,0.83,0.9,0.8,0.7,True,True,True,Identity attribute necessary for distinguishing products from different manufacturers.,Manufacturer sites
Part number,identity,scalar,True,,,0.855,0.9,0.85,0.75,True,True,True,Essential for product identification and differentiation within a manufacturer's catalog.,Manufacturer sites
Rated operational voltage,variant-defining,scalar,True,V,Rated operational current (co-determined),0.956,0.98,0.92,0.95,True,True,True,"Critical for defining the electrical capacity of the switch, as specified in IEC standards.",IEC 60947
Rated operational current,variant-defining,scalar,True,A,Rated operational voltage (co-determined),0.951,0.97,0.92,0.95,True,True,True,"Defines the electrical load capacity, essential for distinguishing product variants.",IEC 60947
Number of poles,variant-defining,scalar,True,,,0.86,0.9,0.8,0.85,False,False,False,"Determines the switch's ability to control multiple circuits, affecting its application.",IEC 60947
Mounting type,variant-defining,enumeration,True,,,0.81,0.85,0.75,0.8,False,True,False,"Affects the physical integration of the switch into systems, important for variant differentiation.",NEMA
Degree of protection (IP),descriptive,enumeration,True,,,0.904,0.92,0.88,0.9,True,True,True,"Describes environmental resilience, critical for determining suitability in various conditions.",IEC 60529
Dimensions (H x W x D),descriptive,composite,True,mm,,0.73,0.8,0.7,0.6,False,False,False,Important for physical integration and space considerations in installations.,Manufacturer sites
Weight,descriptive,scalar,True,kg,,0.67,0.75,0.65,0.5,False,False,False,"Relevant for handling and installation, though not variant-defining.",Manufacturer sites
Operating temperature range,descriptive,range,True,°C,,0.865,0.9,0.85,0.8,True,False,True,Critical for ensuring the switch functions properly in its intended environment.,IEC 60947
Mechanical life,descriptive,scalar,True,cycles,,0.815,0.85,0.8,0.75,False,False,False,"Indicates durability and reliability, important for lifecycle assessment.",IEC 60947
Contact configuration,variant-defining,enumeration,True,,,0.834,0.88,0.78,0.8,False,False,False,"Defines the switch's functionality and application, critical for variant differentiation.",NEMA
Type of actuation,variant-defining,enumeration,True,,,0.765,0.8,0.75,0.7,False,False,False,"Affects user interaction and application, important for distinguishing product variants.",NEMA
Short-circuit rating,descriptive,scalar,True,A,,0.81,0.85,0.75,0.8,False,False,False,"Indicates the switch's ability to handle fault conditions, important for safety assessments.",UL
Material,descriptive,enumeration,True,,,0.73,0.8,0.7,0.6,False,False,False,"Affects durability and environmental suitability, though not variant-defining.","NEMA, Manufacturer sites"
Color,descriptive,enumeration,False,,,0.44,0.4,0.6,0.3,False,True,False,"Primarily aesthetic, not critical for function or variant differentiation.","NEMA, Manufacturer sites"
